,taxi_date,total_amount,geometry
108493208,2015-09-24,52.8,POINT (-73.97306823730467 40.7607307434082)
108493210,2015-09-24,8.75,POINT (-73.9744873046875 40.75625610351562)
108493217,2015-09-24,14.76,POINT (-73.97464752197266 40.75887680053711)
108493304,2015-09-24,101.49,POINT (-73.97299194335938 40.75645065307617)
108493336,2015-09-24,5.3,POINT (-73.97492218017578 40.75851058959961)
108493344,2015-09-24,19.8,POINT (-73.97393798828125 40.75987243652344)
108493358,2015-09-24,43.59,POINT (-73.97380828857422 40.755859375)
108493365,2015-09-24,10.1,POINT (-73.97710418701173 40.75392150878906)
108493417,2015-09-24,4.3,POINT (-73.97705841064453 40.75602340698241)
108493433,2015-09-24,5.3,POINT (-73.97628021240234 40.75579833984375)
108493480,2015-09-24,41.34,POINT (-73.97808837890625 40.76286697387695)
108493484,2015-09-24,4.3,POINT (-73.97447967529298 40.75555801391602)
108493499,2015-09-24,45.41,POINT (-73.97899627685547 40.76174926757813)
108493512,2015-09-24,40.42,POINT (-73.9730911254883 40.75615692138672)
108493572,2015-09-24,7.56,POINT (-73.97456359863281 40.75489807128906)
108493605,2015-09-24,12.96,POINT (-73.97804260253906 40.76287078857422)
108493749,2015-09-24,69.99,POINT (-73.97390747070312 40.75642013549805)
108493776,2015-09-24,4.3,POINT (-73.97733306884766 40.75510025024415)
108493792,2015-09-24,69.99,POINT (-73.97543334960938 40.76263809204102)
108493821,2015-09-24,9.3,POINT (-73.97312927246094 40.75708770751953)
108493832,2015-09-24,6.8,POINT (-73.97837829589844 40.76230239868164)
108493858,2015-09-24,12.96,POINT (-73.97907257080078 40.75582504272461)
108493882,2015-09-24,12.74,POINT (-73.97677612304686 40.75622177124024)
108493929,2015-09-24,9.8,POINT (-73.97458648681641 40.75545883178711)
108494156,2015-09-24,4.75,POINT (-73.97764587402342 40.75477600097656)
108494160,2015-09-24,6.8,POINT (-73.97877502441406 40.76211166381836)
108494165,2015-09-24,8.5,POINT (-73.97657775878906 40.75463485717773)
108494274,2015-09-24,27.8,POINT (-73.97514343261719 40.76277923583984)
108494303,2015-09-24,58.34,POINT (-73.97907257080078 40.76160049438477)
108494343,2015-09-24,6.8,POINT (-73.97538757324219 40.75706100463867)
108494355,2015-09-24,23.15,POINT (-73.9735107421875 40.75508880615234)
108494371,2015-09-24,13.8,POINT (-73.97775268554686 40.75471115112305)
108494587,2015-09-24,5.8,POINT (-73.97777557373048 40.75484085083008)
108494712,2015-09-24,63.36,POINT (-73.97154998779298 40.7599983215332)
108494725,2015-09-24,6.8,POINT (-73.9773712158203 40.75440216064453)
108494789,2015-09-24,8.3,POINT (-73.97509765625 40.75558853149415)
108494805,2015-09-24,12.85,POINT (-73.97803497314453 40.76152038574219)
108494809,2015-09-24,6.95,POINT (-73.97943878173827 40.75506210327149)
108494858,2015-09-24,10.3,POINT (-73.97843933105469 40.76169586181641)
108494869,2015-09-24,43.81,POINT (-73.97745513916014 40.75457382202149)
108494920,2015-09-24,7.54,POINT (-73.97541046142578 40.75534057617188)
108494976,2015-09-24,6.3,POINT (-73.97705078125 40.75579071044922)
108495014,2015-09-24,17.16,POINT (-73.98020935058595 40.75908660888672)
108495099,2015-09-24,6.8,POINT (-73.97801208496094 40.75471115112305)
108495113,2015-09-24,4.3,POINT (-73.97698974609375 40.75593185424805)
108495114,2015-09-24,11.15,POINT (-73.97701263427734 40.75591278076172)
108495183,2015-09-24,70.0,POINT (-73.9734649658203 40.75582885742188)
108495213,2015-09-24,7.3,POINT (-73.97427368164062 40.75627517700195)
108495285,2015-09-24,6.96,POINT (-73.97483825683594 40.75568008422852)
108495286,2015-09-24,34.8,POINT (-73.978271484375 40.76264953613281)
108495288,2015-09-24,11.44,POINT (-73.97503662109375 40.75604248046875)
108495317,2015-09-24,6.8,POINT (-73.97943878173827 40.7598991394043)
108495387,2015-09-24,46.05,POINT (-73.97270965576173 40.75528335571289)
108495529,2015-09-24,8.3,POINT (-73.97183990478516 40.75701904296875)
108495670,2015-09-24,5.8,POINT (-73.97736358642578 40.75490188598633)
108495680,2015-09-24,12.3,POINT (-73.97994995117188 40.76046752929688)
108495774,2015-09-24,7.85,POINT (-73.97378540039062 40.75958251953125)
108495786,2015-09-24,45.84,POINT (-73.97879028320312 40.76130676269531)
108495793,2015-09-24,19.3,POINT (-73.97217559814453 40.75587463378906)
108495822,2015-09-24,5.8,POINT (-73.97509002685547 40.75579833984375)
108495902,2015-09-24,6.0,POINT (-73.97276306152342 40.75605773925781)
108495930,2015-09-24,49.01,POINT (-73.978759765625 40.76155853271485)
108495970,2015-09-24,11.3,POINT (-73.97352600097656 40.7598762512207)
108496057,2015-09-24,5.16,POINT (-73.97674560546875 40.75612258911133)
108496108,2015-09-24,6.8,POINT (-73.97586822509766 40.75785446166992)
108496247,2015-09-24,6.0,POINT (-73.97486114501955 40.75579452514648)
108496280,2015-09-24,12.7,POINT (-73.97238159179686 40.75628662109375)
108496324,2015-09-24,14.3,POINT (-73.97416687011719 40.7629280090332)
108496368,2015-09-24,6.1,POINT (-73.9715118408203 40.75690078735352)
108496414,2015-09-24,6.8,POINT (-73.97664642333984 40.75642013549805)
108496500,2015-09-24,3.8,POINT (-73.97700500488281 40.75606155395508)
108496694,2015-09-24,4.8,POINT (-73.97655487060547 40.75593566894531)
108496713,2015-09-24,45.84,POINT (-73.97438049316406 40.75864791870117)
108496760,2015-09-24,9.8,POINT (-73.97681427001955 40.7558708190918)
108496853,2015-09-24,8.3,POINT (-73.97472381591797 40.75663757324219)
108496994,2015-09-24,8.3,POINT (-73.98085021972656 40.76007080078125)
108497082,2015-09-24,18.3,POINT (-73.97158050537109 40.75997161865234)
108497096,2015-09-24,10.3,POINT (-73.97452545166014 40.75911331176758)
108497175,2015-09-24,13.8,POINT (-73.97308349609375 40.75511932373047)
108497184,2015-09-24,63.35,POINT (-73.97328948974609 40.76002883911133)
108497190,2015-09-24,9.3,POINT (-73.97650909423827 40.75962829589844)
108497206,2015-09-24,72.92,POINT (-73.97848510742188 40.76121520996094)
108497319,2015-09-24,7.85,POINT (-73.97370147705078 40.76041030883789)
108497349,2015-09-24,11.8,POINT (-73.97879791259766 40.76201629638672)
108497386,2015-09-24,48.55,POINT (-73.97398376464845 40.75680923461913)
108497426,2015-09-24,11.76,POINT (-73.97477722167969 40.75934600830078)
108497642,2015-09-24,5.3,POINT (-73.97789764404298 40.76004791259766)
108497679,2015-09-24,47.92,POINT (-73.97344207763672 40.75779724121094)
108497765,2015-09-24,5.3,POINT (-73.97788238525391 40.75471115112305)
108497832,2015-09-24,4.8,POINT (-73.97177886962891 40.75668334960938)
108497887,2015-09-24,9.3,POINT (-73.97987365722656 40.76161575317383)
108497908,2015-09-24,70.01,POINT (-73.97823333740234 40.76127243041992)
108497913,2015-09-24,6.8,POINT (-73.9720001220703 40.75687408447266)
108497919,2015-09-24,10.3,POINT (-73.97308349609375 40.76104354858398)
108498124,2015-09-24,42.34,POINT (-73.97206878662109 40.75951766967773)
108498144,2015-09-24,58.34,POINT (-73.97645568847656 40.7590446472168)
108498210,2015-09-24,40.8,POINT (-73.97809600830078 40.75482940673828)
108498276,2015-09-24,9.3,POINT (-73.97871398925781 40.76191329956055)
108498382,2015-09-24,12.8,POINT (-73.97212219238281 40.756591796875)
108498389,2015-09-24,7.55,POINT (-73.97682952880859 40.75598907470703)
108498416,2015-09-24,58.34,POINT (-73.97811126708984 40.76180648803711)
108498472,2015-09-24,13.55,POINT (-73.97378540039062 40.75442123413085)
108498480,2015-09-24,5.3,POINT (-73.97795867919923 40.75454330444336)
108498507,2015-09-24,12.8,POINT (-73.97689056396483 40.75884628295898)
108498514,2015-09-24,8.3,POINT (-73.97411346435547 40.76027297973633)
108498518,2015-09-24,8.8,POINT (-73.97918701171875 40.7614860534668)
108498528,2015-09-24,8.8,POINT (-73.97914123535155 40.76177215576172)
108498529,2015-09-24,9.95,POINT (-73.97659301757811 40.7559700012207)
108498536,2015-09-24,9.36,POINT (-73.9788818359375 40.76226043701172)
108498550,2015-09-24,8.3,POINT (-73.97193908691406 40.75667190551758)
108498589,2015-09-24,9.8,POINT (-73.97904205322266 40.76183700561523)
108498600,2015-09-24,5.3,POINT (-73.97556304931641 40.75546646118164)
108498610,2015-09-24,10.56,POINT (-73.973388671875 40.75448608398438)
108498623,2015-09-24,4.8,POINT (-73.97341156005859 40.755126953125)
108498663,2015-09-24,6.36,POINT (-73.97676849365234 40.75591659545898)
108498711,2015-09-24,7.25,POINT (-73.97715759277344 40.75576019287109)
108498769,2015-09-24,106.31,POINT (-73.97393035888672 40.75462341308594)
108498892,2015-09-24,3.3,POINT (-73.97547912597656 40.75806045532227)
108498950,2015-09-24,13.8,POINT (-73.97402954101562 40.75450897216797)
108499011,2015-09-24,9.3,POINT (-73.9811248779297 40.75846481323241)
108499048,2015-09-24,6.36,POINT (-73.97484588623048 40.75540161132813)
108499134,2015-09-24,8.8,POINT (-73.97444915771484 40.75581741333008)
108499151,2015-09-24,11.44,POINT (-73.98003387451173 40.76050567626953)
108499241,2015-09-24,9.86,POINT (-73.97422027587891 40.76009368896485)
108499260,2015-09-24,5.8,POINT (-73.97464752197266 40.75571823120117)
108499273,2015-09-24,8.15,POINT (-73.97776031494141 40.75459289550781)
108499300,2015-09-24,30.0,POINT (-73.97537994384766 40.75558471679688)
108499347,2015-09-24,45.99,POINT (-73.97509002685547 40.76141357421875)
108499411,2015-09-24,5.55,POINT (-73.97669219970702 40.75599670410156)
108499419,2015-09-24,6.3,POINT (-73.97296905517578 40.75530624389648)
108499429,2015-09-24,102.71,POINT (-73.97831726074219 40.76168823242188)
108499487,2015-09-24,7.3,POINT (-73.97673034667969 40.75590515136719)
108499499,2015-09-24,6.1,POINT (-73.97686004638672 40.75601196289063)
108499544,2015-09-24,10.55,POINT (-73.97884368896483 40.76204299926758)
108499558,2015-09-24,5.76,POINT (-73.97730255126955 40.75571060180664)
108499588,2015-09-24,3.8,POINT (-73.97705841064453 40.75630950927734)
108499637,2015-09-24,4.3,POINT (-73.97696685791014 40.75571060180664)
108499652,2015-09-24,72.89,POINT (-73.97250366210938 40.75568771362305)
108499745,2015-09-24,8.8,POINT (-73.97492218017578 40.75596618652344)
108499760,2015-09-24,8.8,POINT (-73.97908782958984 40.76227188110352)
108499763,2015-09-24,11.16,POINT (-73.97847747802734 40.76188278198241)
108499767,2015-09-24,4.8,POINT (-73.97852325439453 40.75506210327149)
108499800,2015-09-24,7.8,POINT (-73.97525787353516 40.75642013549805)
108499839,2015-09-24,33.84,POINT (-73.97270965576173 40.75517654418945)
108499889,2015-09-24,4.3,POINT (-73.97628021240234 40.75543975830078)
108499903,2015-09-24,9.96,POINT (-73.97939300537109 40.76192092895508)
108499923,2015-09-24,39.84,POINT (-73.97866058349609 40.76177597045898)
108499930,2015-09-24,5.75,POINT (-73.97645568847656 40.75591278076172)
108499968,2015-09-24,5.7,POINT (-73.97691345214844 40.75587463378906)
108500031,2015-09-24,7.8,POINT (-73.97685241699219 40.75747680664063)
108500086,2015-09-24,8.76,POINT (-73.97557830810547 40.76084136962891)
108500102,2015-09-24,7.25,POINT (-73.97439575195312 40.75386428833008)
108500175,2015-09-24,38.81,POINT (-73.97312164306641 40.75515365600585)
108500207,2015-09-24,43.84,POINT (-73.97474670410156 40.75663757324219)
108500216,2015-09-24,3.8,POINT (-73.98094940185547 40.75994873046875)
108500219,2015-09-24,6.35,POINT (-73.97695922851562 40.7559814453125)
108500230,2015-09-24,5.3,POINT (-73.97630310058595 40.75579833984375)
108500262,2015-09-24,11.3,POINT (-73.97507476806641 40.75923538208008)
108500265,2015-09-24,7.3,POINT (-73.97640228271484 40.75579452514648)
108500341,2015-09-24,4.8,POINT (-73.98108673095702 40.75844955444336)
108500354,2015-09-24,6.6,POINT (-73.97681427001955 40.75581359863281)
108500436,2015-09-24,79.05,POINT (-73.97826385498048 40.76190185546875)
108500487,2015-09-24,6.8,POINT (-73.97816467285155 40.75492095947266)
108500495,2015-09-24,5.8,POINT (-73.97537994384766 40.75468826293945)
108500577,2015-09-24,98.75,POINT (-73.97882080078125 40.76233673095703)
108500587,2015-09-24,8.16,POINT (-73.97199249267578 40.75679016113281)
108500588,2015-09-24,8.8,POINT (-73.97425842285155 40.75395965576172)
108500598,2015-09-24,69.99,POINT (-73.97708129882812 40.76332473754883)
108500602,2015-09-24,15.99,POINT (-73.97870635986328 40.76188278198241)
108500623,2015-09-24,75.84,POINT (-73.97801208496094 40.76308822631836)
108500647,2015-09-24,6.3,POINT (-73.97174072265625 40.76023864746094)
108500683,2015-09-24,70.01,POINT (-73.97834014892578 40.7617301940918)
108500694,2015-09-24,12.35,POINT (-73.97438049316406 40.7547607421875)
108500779,2015-09-24,12.3,POINT (-73.97545623779298 40.75512313842773)
108500818,2015-09-24,10.38,POINT (-73.97265625 40.75535202026367)
108500982,2015-09-24,8.8,POINT (-73.97353363037109 40.76033020019531)
108501066,2015-09-24,5.8,POINT (-73.97696685791014 40.75629043579102)
108501109,2015-09-24,6.8,POINT (-73.97697448730467 40.75606155395508)
108501135,2015-09-24,7.3,POINT (-73.97684478759766 40.75893783569336)
108501203,2015-09-24,8.8,POINT (-73.97542572021484 40.75630187988281)
108501207,2015-09-24,8.16,POINT (-73.97651672363281 40.76089096069336)
108501212,2015-09-24,13.3,POINT (-73.97920989990234 40.76197814941406)
108501273,2015-09-24,8.16,POINT (-73.97280120849609 40.7554931640625)
108501353,2015-09-24,4.8,POINT (-73.97734832763672 40.75551605224609)
108501384,2015-09-24,6.3,POINT (-73.97812652587891 40.75406646728516)
108501483,2015-09-24,6.3,POINT (-73.97213745117188 40.75642013549805)
