,bike_date,km_score,tripduration_x,bike_trip_count_x,holiday_x,weekend_x,tripduration_x,bike_trip_count_x,holiday_y,weekend_y
317,2015-11-14,4.55374012237,60.5291726792,207,0,1,60.5291726792,207,-0.298842584326,1.58200497029
359,2015-12-26,4.18038921946,55.5416666667,148,1,1,55.5416666667,148,3.33707552497,1.58200497029
358,2015-12-25,3.51098061504,49.4506666368,222,1,1,49.4506666368,222,3.33707552497,1.58200497029
86,2015-03-28,2.70918833325,40.625,6,0,1,40.625,6,-0.298842584326,1.58200497029
233,2015-08-22,2.58079757763,42.7950343604,476,0,1,42.7950343604,476,-0.298842584326,1.58200497029
346,2015-12-13,2.44392394693,41.3496706682,302,0,0,41.3496706682,302,-0.298842584326,-0.630377459427
330,2015-11-27,2.29152637215,35.7554174397,244,1,1,35.7554174397,244,3.33707552497,1.58200497029
1,2015-01-02,2.22655625546,14.8357835147,119,1,1,14.8357835147,119,3.33707552497,1.58200497029
268,2015-09-26,2.10656870424,36.4763503809,566,0,1,36.4763503809,566,-0.298842584326,1.58200497029
311,2015-11-08,2.09086728266,37.2233570638,278,0,0,37.2233570638,278,-0.298842584326,-0.630377459427
44,2015-02-14,2.06556570978,8.81363636364,23,0,1,8.81363636364,23,-0.298842584326,1.58200497029
51,2015-02-21,2.02311450179,9.34259259259,23,0,1,9.34259259259,23,-0.298842584326,1.58200497029
46,2015-02-16,1.99852391928,11.4778911565,25,1,0,11.4778911565,25,3.33707552497,-0.630377459427
45,2015-02-15,1.97201465472,12.1714285714,17,1,0,12.1714285714,17,3.33707552497,-0.630377459427
183,2015-07-03,1.95592680179,27.9638324255,439,1,1,27.9638324255,439,3.33707552497,1.58200497029
255,2015-09-13,1.95144140045,38.4409925004,401,0,0,38.4409925004,401,-0.298842584326,-0.630377459427
17,2015-01-18,1.92591401052,12.9857142857,13,1,0,12.9857142857,13,3.33707552497,-0.630377459427
184,2015-07-04,1.88487763878,27.7239858907,392,1,1,27.7239858907,392,3.33707552497,1.58200497029
253,2015-09-11,1.83929425955,20.3784484516,699,0,1,20.3784484516,699,-0.298842584326,1.58200497029
91,2015-04-02,1.83925913202,36.1193330013,333,0,0,36.1193330013,333,-0.298842584326,-0.630377459427
276,2015-10-04,1.8230476137,33.0764264614,248,0,0,33.0764264614,248,-0.298842584326,-0.630377459427
47,2015-02-17,1.79374870677,12.7452947846,56,1,0,12.7452947846,56,3.33707552497,-0.630377459427
9,2015-01-10,1.78750027783,12.2734693878,28,0,1,12.2734693878,28,-0.298842584326,1.58200497029
30,2015-01-31,1.78745317427,12.5722222222,23,0,1,12.5722222222,23,-0.298842584326,1.58200497029
267,2015-09-25,1.78734401004,20.172290324,688,0,1,20.172290324,688,-0.298842584326,1.58200497029
260,2015-09-18,1.77835903165,25.8110386276,672,0,1,25.8110386276,672,-0.298842584326,1.58200497029
2,2015-01-03,1.75954480831,12.8142857143,26,0,1,12.8142857143,26,-0.298842584326,1.58200497029
50,2015-02-20,1.6938415385,11.4815279958,68,0,1,11.4815279958,68,-0.298842584326,1.58200497029
58,2015-02-28,1.68772954063,13.4282879819,34,0,1,13.4282879819,34,-0.298842584326,1.58200497029
64,2015-03-06,1.651691518,11.9336734694,70,0,1,11.9336734694,70,-0.298842584326,1.58200497029
285,2015-10-13,1.64267558206,20.5561341253,623,1,0,20.5561341253,623,3.33707552497,-0.630377459427
65,2015-03-07,1.6270598604,14.9090909091,28,0,1,14.9090909091,28,-0.298842584326,1.58200497029
329,2015-11-26,1.6212726938,35.450904152,161,1,0,35.450904152,161,3.33707552497,-0.630377459427
274,2015-10-02,1.62003104714,12.1082175926,75,0,1,12.1082175926,75,-0.298842584326,1.58200497029
16,2015-01-17,1.6186951535,14.1493197279,40,0,1,14.1493197279,40,-0.298842584326,1.58200497029
72,2015-03-14,1.61738533262,15.4420634921,24,0,1,15.4420634921,24,-0.298842584326,1.58200497029
37,2015-02-07,1.61238870476,14.473989899,37,0,1,14.473989899,37,-0.298842584326,1.58200497029
43,2015-02-13,1.59644340769,12.4700799201,74,0,1,12.4700799201,74,-0.298842584326,1.58200497029
289,2015-10-17,1.58863718738,34.9503398296,268,0,1,34.9503398296,268,-0.298842584326,1.58200497029
0,2015-01-01,1.5826539002,16.3196248196,45,1,0,16.3196248196,45,3.33707552497,-0.630377459427
23,2015-01-24,1.58086863738,16.4444444444,22,0,1,16.4444444444,22,-0.298842584326,1.58200497029
284,2015-10-12,1.53003499118,23.8833013291,606,1,0,23.8833013291,606,3.33707552497,-0.630377459427
78,2015-03-20,1.51375280918,14.2390622916,64,0,1,14.2390622916,64,-0.298842584326,1.58200497029
221,2015-08-10,1.49765076671,34.7446750611,609,0,0,34.7446750611,609,-0.298842584326,-0.630377459427
