,taxi_date,total_amount,geometry
12749581,2015-02-09,12.96,POINT (-73.97178649902342 40.75775146484375)
12749585,2015-02-09,9.8,POINT (-73.97498321533203 40.75828170776367)
12749595,2015-02-09,9.8,POINT (-73.97498321533203 40.7614860534668)
12749596,2015-02-09,11.76,POINT (-73.97300720214845 40.75910186767577)
12749600,2015-02-09,8.3,POINT (-73.97405242919923 40.75746154785156)
12749967,2015-02-09,9.36,POINT (-73.97521209716798 40.75539016723633)
12750163,2015-02-09,6.8,POINT (-73.97663879394531 40.75436019897461)
12750164,2015-02-09,54.13,POINT (-73.9779052734375 40.75972747802734)
12751621,2015-02-09,12.3,POINT (-73.97712707519531 40.76126861572266)
12751628,2015-02-09,9.12,POINT (-73.97749328613281 40.75456619262695)
12751718,2015-02-09,9.2,POINT (-73.97899627685547 40.76190948486328)
12752411,2015-02-09,6.8,POINT (-73.97714233398438 40.75582504272461)
12752560,2015-02-09,8.15,POINT (-73.97293853759766 40.7606086730957)
12752617,2015-02-09,36.13,POINT (-73.97171020507811 40.75638198852539)
12752884,2015-02-09,14.0,POINT (-73.97200775146483 40.7601203918457)
12752887,2015-02-09,5.8,POINT (-73.97413635253906 40.76264953613281)
12752900,2015-02-09,11.8,POINT (-73.97348022460938 40.75751113891602)
12753087,2015-02-09,7.3,POINT (-73.97543334960938 40.75665664672852)
12753121,2015-02-09,9.3,POINT (-73.97714233398438 40.75620269775391)
12753403,2015-02-09,14.3,POINT (-73.97320556640625 40.76120376586913)
12753410,2015-02-09,9.55,POINT (-73.97696685791014 40.75608062744141)
12753468,2015-02-09,9.3,POINT (-73.97175598144531 40.75966262817383)
12753470,2015-02-09,11.76,POINT (-73.97276306152342 40.75880432128906)
12753471,2015-02-09,4.3,POINT (-73.97548675537109 40.76062774658203)
12753488,2015-02-09,12.35,POINT (-73.97399139404298 40.75966644287109)
12753597,2015-02-09,8.75,POINT (-73.97678375244141 40.7561149597168)
12755211,2015-02-09,4.8,POINT (-73.97433471679686 40.75446701049805)
12755602,2015-02-09,9.36,POINT (-73.97748565673827 40.75856018066406)
12755712,2015-02-09,12.95,POINT (-73.97940826416014 40.76184463500977)
12755859,2015-02-09,10.8,POINT (-73.97231292724609 40.75631332397461)
12756435,2015-02-09,5.3,POINT (-73.97747039794923 40.75876617431641)
12756444,2015-02-09,10.8,POINT (-73.9763946533203 40.76007461547852)
12756473,2015-02-09,11.8,POINT (-73.97788238525391 40.75789260864258)
12756487,2015-02-09,9.95,POINT (-73.97679138183594 40.75434875488281)
12757328,2015-02-09,9.3,POINT (-73.97203063964845 40.7585563659668)
12757331,2015-02-09,19.8,POINT (-73.97551727294923 40.7593879699707)
12757403,2015-02-09,9.3,POINT (-73.97466278076173 40.7612533569336)
12760105,2015-02-09,10.3,POINT (-73.97466278076173 40.75774383544922)
12760173,2015-02-09,15.8,POINT (-73.97335815429686 40.76082229614258)
12760625,2015-02-09,12.8,POINT (-73.97824096679686 40.75682830810547)
12760634,2015-02-09,44.15,POINT (-73.97927093505859 40.76147842407227)
12760635,2015-02-09,10.56,POINT (-73.97196960449219 40.75906753540039)
12760659,2015-02-09,34.3,POINT (-73.97239685058595 40.75870132446289)
12760671,2015-02-09,8.8,POINT (-73.97441864013672 40.75909042358398)
12760676,2015-02-09,8.75,POINT (-73.97666931152342 40.75535202026367)
12760711,2015-02-09,15.3,POINT (-73.97356414794923 40.7568473815918)
12760714,2015-02-09,33.8,POINT (-73.97501373291014 40.75893783569336)
12760765,2015-02-09,12.95,POINT (-73.97257995605469 40.75659561157227)
12760769,2015-02-09,14.75,POINT (-73.977294921875 40.76241302490234)
12761303,2015-02-09,12.95,POINT (-73.97843933105469 40.76267623901367)
12762097,2015-02-09,8.3,POINT (-73.9725341796875 40.75986099243164)
12762112,2015-02-09,16.3,POINT (-73.9769287109375 40.76105117797852)
12762113,2015-02-09,10.8,POINT (-73.97439575195312 40.75402069091797)
12764297,2015-02-09,7.3,POINT (-73.97460174560547 40.7619514465332)
12764935,2015-02-09,17.25,POINT (-73.97273254394531 40.75650787353516)
12764942,2015-02-09,8.8,POINT (-73.97802734375 40.75774383544922)
12764946,2015-02-09,5.76,POINT (-73.97236633300781 40.76042175292969)
12765536,2015-02-09,6.62,POINT (-73.9769973754883 40.75579071044922)
12765870,2015-02-09,13.5,POINT (-73.97273254394531 40.75506973266602)
12766343,2015-02-09,6.96,POINT (-73.97525787353516 40.76227188110352)
12767693,2015-02-09,7.3,POINT (-73.97505187988281 40.76099014282227)
12767705,2015-02-09,11.76,POINT (-73.9765625 40.75510025024415)
12767706,2015-02-09,17.16,POINT (-73.97709655761719 40.75804138183594)
12769410,2015-02-09,12.8,POINT (-73.97371673583984 40.76005935668945)
12769419,2015-02-09,14.3,POINT (-73.97402191162109 40.75674057006836)
12770116,2015-02-09,7.3,POINT (-73.97515869140625 40.75514602661133)
12770941,2015-02-09,10.0,POINT (-73.97674560546875 40.7563362121582)
12770942,2015-02-09,14.8,POINT (-73.97911071777342 40.75839996337891)
12771716,2015-02-09,12.25,POINT (-73.97705078125 40.75631332397461)
12774314,2015-02-09,12.96,POINT (-73.97796630859375 40.75393676757813)
12778053,2015-02-09,12.3,POINT (-73.97705841064453 40.75447082519531)
12778058,2015-02-09,15.2,POINT (-73.97205352783203 40.76021575927734)
12779457,2015-02-09,14.16,POINT (-73.97595977783203 40.76041030883789)
12779464,2015-02-09,9.36,POINT (-73.9735107421875 40.75806045532227)
12779473,2015-02-09,7.3,POINT (-73.97896575927734 40.75605773925781)
12781308,2015-02-09,11.8,POINT (-73.97209167480467 40.75917434692383)
12781313,2015-02-09,9.8,POINT (-73.97442626953125 40.75955581665039)
12782566,2015-02-09,15.3,POINT (-73.97846984863281 40.75663375854492)
12787831,2015-02-09,8.76,POINT (-73.97630310058595 40.75997543334961)
12789042,2015-02-09,9.36,POINT (-73.97148132324219 40.75834655761719)
12789164,2015-02-09,11.76,POINT (-73.97507476806641 40.7607307434082)
12789177,2015-02-09,9.96,POINT (-73.97838592529298 40.75908660888672)
12789180,2015-02-09,9.96,POINT (-73.97247314453125 40.75957870483398)
12792571,2015-02-09,9.36,POINT (-73.97324371337891 40.7613410949707)
12795056,2015-02-09,11.76,POINT (-73.97477722167969 40.75900268554688)
12795621,2015-02-09,16.62,POINT (-73.97801208496094 40.7625617980957)
12796466,2015-02-09,9.96,POINT (-73.97865295410156 40.76203536987305)
12796472,2015-02-09,8.76,POINT (-73.97632598876955 40.75991058349609)
12798775,2015-02-09,11.44,POINT (-73.97854614257811 40.76190567016602)
12799708,2015-02-09,8.76,POINT (-73.98075103759766 40.7599983215332)
12799711,2015-02-09,7.56,POINT (-73.97309875488281 40.75957107543945)
12800852,2015-02-09,14.16,POINT (-73.98049163818358 40.76025009155273)
12800855,2015-02-09,10.3,POINT (-73.97289276123048 40.75661849975585)
12802309,2015-02-09,9.3,POINT (-73.97850036621094 40.76223373413085)
12802312,2015-02-09,32.89,POINT (-73.976806640625 40.75626373291016)
12804474,2015-02-09,22.56,POINT (-73.98026275634766 40.76092529296875)
12804784,2015-02-09,24.95,POINT (-73.97653198242188 40.75887680053711)
12804797,2015-02-09,5.35,POINT (-73.97693634033203 40.7563362121582)
12804839,2015-02-09,8.8,POINT (-73.97278594970702 40.75572967529297)
12805543,2015-02-09,12.36,POINT (-73.97684478759766 40.7580451965332)
12805546,2015-02-09,9.7,POINT (-73.98030853271484 40.76071166992188)
12805547,2015-02-09,7.8,POINT (-73.97341156005859 40.75478744506836)
12805554,2015-02-09,11.3,POINT (-73.97828674316406 40.75437164306641)
12805781,2015-02-09,13.3,POINT (-73.97419738769531 40.75593566894531)
12805869,2015-02-09,6.95,POINT (-73.97709655761719 40.75593566894531)
12805959,2015-02-09,23.3,POINT (-73.97588348388672 40.76028060913085)
12806052,2015-02-09,8.8,POINT (-73.97860717773438 40.75668334960938)
12807308,2015-02-09,11.6,POINT (-73.97816467285155 40.75793838500977)
12807325,2015-02-09,6.62,POINT (-73.97655487060547 40.75977325439453)
12807404,2015-02-09,10.8,POINT (-73.9779052734375 40.7569465637207)
12807913,2015-02-09,9.36,POINT (-73.97601318359375 40.75999069213867)
12808707,2015-02-09,24.96,POINT (-73.97659301757811 40.76252746582031)
12809649,2015-02-09,8.75,POINT (-73.97785186767578 40.75904083251953)
12809657,2015-02-09,12.3,POINT (-73.97583770751955 40.75456237792969)
12809662,2015-02-09,12.8,POINT (-73.97525024414062 40.76099395751953)
12809888,2015-02-09,4.8,POINT (-73.97821807861328 40.76217269897461)
12809993,2015-02-09,14.15,POINT (-73.97164916992188 40.75762557983398)
12810209,2015-02-09,7.8,POINT (-73.97567749023438 40.76116180419922)
12810211,2015-02-09,6.3,POINT (-73.9763946533203 40.76234817504883)
12810216,2015-02-09,8.3,POINT (-73.97862243652342 40.76125717163085)
12810251,2015-02-09,11.6,POINT (-73.97609710693358 40.75571823120117)
12810256,2015-02-09,8.3,POINT (-73.97458648681641 40.76193618774415)
12810260,2015-02-09,9.75,POINT (-73.97818756103516 40.75752639770508)
12810262,2015-02-09,8.15,POINT (-73.97443389892578 40.76253128051758)
12810368,2015-02-09,14.75,POINT (-73.97540283203125 40.76181411743164)
12810376,2015-02-09,8.75,POINT (-73.9801025390625 40.75944137573241)
12810382,2015-02-09,11.3,POINT (-73.97267913818358 40.75895309448241)
12810609,2015-02-09,13.3,POINT (-73.97483062744141 40.75621795654297)
12810772,2015-02-09,8.8,POINT (-73.97557830810547 40.75944519042969)
12810780,2015-02-09,10.79,POINT (-73.97663879394531 40.75818634033203)
12810819,2015-02-09,8.3,POINT (-73.98023223876955 40.75856399536133)
12810855,2015-02-09,14.76,POINT (-73.97724914550781 40.75647354125977)
12810857,2015-02-09,12.35,POINT (-73.97685241699219 40.75918579101562)
12810861,2015-02-09,9.12,POINT (-73.97418975830078 40.75469589233398)
12810923,2015-02-09,7.3,POINT (-73.97628784179686 40.75379943847656)
12810924,2015-02-09,33.36,POINT (-73.97158813476562 40.75806045532227)
12811154,2015-02-09,18.35,POINT (-73.9730224609375 40.75559234619141)
12811392,2015-02-09,10.55,POINT (-73.97490692138672 40.75993728637695)
12811613,2015-02-09,15.35,POINT (-73.97695159912109 40.75757217407227)
12811624,2015-02-09,8.15,POINT (-73.97184753417969 40.7567138671875)
12811629,2015-02-09,11.3,POINT (-73.97276306152342 40.75838470458984)
12811936,2015-02-09,12.35,POINT (-73.9781951904297 40.75419616699219)
12811942,2015-02-09,9.35,POINT (-73.97524261474609 40.75558853149415)
12811944,2015-02-09,9.95,POINT (-73.97493743896483 40.76023101806641)
12811948,2015-02-09,9.75,POINT (-73.98026275634766 40.76010894775391)
12813533,2015-02-09,15.37,POINT (-73.97367095947266 40.75957489013672)
12813587,2015-02-09,12.35,POINT (-73.97757720947266 40.76273727416992)
12813597,2015-02-09,8.8,POINT (-73.97213745117188 40.7572135925293)
12813669,2015-02-09,15.3,POINT (-73.97537231445312 40.75859832763672)
12813671,2015-02-09,9.3,POINT (-73.97927093505859 40.76145935058594)
12816122,2015-02-09,11.3,POINT (-73.97480010986328 40.76192855834961)
12816136,2015-02-09,18.36,POINT (-73.97690582275391 40.76044464111328)
12818056,2015-02-09,14.3,POINT (-73.97480010986328 40.76019668579102)
12818065,2015-02-09,13.8,POINT (-73.97496795654298 40.761962890625)
12818154,2015-02-09,8.19,POINT (-73.97391510009766 40.75582122802734)
12818800,2015-02-09,5.8,POINT (-73.9766845703125 40.75599670410156)
12818804,2015-02-09,7.56,POINT (-73.97178649902342 40.76077651977539)
12819736,2015-02-09,11.16,POINT (-73.97312927246094 40.75751876831055)
12820925,2015-02-09,14.04,POINT (-73.973876953125 40.75423049926758)
12824797,2015-02-09,9.3,POINT (-73.97129821777344 40.75806045532227)
12824798,2015-02-09,20.3,POINT (-73.98069763183594 40.75991058349609)
12824803,2015-02-09,7.3,POINT (-73.97499847412109 40.76169586181641)
12827197,2015-02-09,14.6,POINT (-73.97944641113281 40.76116180419922)
12827203,2015-02-09,18.2,POINT (-73.97480773925781 40.75502014160156)
12827206,2015-02-09,9.8,POINT (-73.97406005859375 40.76251602172852)
12827211,2015-02-09,16.64,POINT (-73.97377777099609 40.75978088378906)
12828842,2015-02-09,7.3,POINT (-73.97382354736328 40.76073837280273)
12829419,2015-02-09,16.3,POINT (-73.97666168212891 40.75534057617188)
12829786,2015-02-09,9.2,POINT (-73.97502136230467 40.75567245483398)
12830299,2015-02-09,8.3,POINT (-73.97199249267578 40.75675964355469)
12830301,2015-02-09,8.8,POINT (-73.97589111328125 40.76005172729492)
12833349,2015-02-09,13.3,POINT (-73.97882843017578 40.7625617980957)
12837187,2015-02-09,6.8,POINT (-73.97802734375 40.7540168762207)
12840342,2015-02-09,6.8,POINT (-73.97554779052734 40.7615623474121)
12840346,2015-02-09,16.3,POINT (-73.97193908691406 40.76042175292969)
12840348,2015-02-09,8.8,POINT (-73.97263336181641 40.75968170166016)
12841837,2015-02-09,10.3,POINT (-73.97956085205078 40.75558090209961)
12842802,2015-02-09,28.8,POINT (-73.97195434570312 40.75735473632813)
12844223,2015-02-09,7.56,POINT (-73.97749328613281 40.7597885131836)
12844232,2015-02-09,8.8,POINT (-73.97454071044923 40.75688171386719)
12845657,2015-02-09,21.0,POINT (-73.97409057617188 40.76011276245117)
12846903,2015-02-09,7.3,POINT (-73.9791717529297 40.75753784179688)
12848679,2015-02-09,13.8,POINT (-73.97486114501955 40.75976181030273)
12849001,2015-02-09,16.56,POINT (-73.9750442504883 40.75835800170898)
12849002,2015-02-09,12.96,POINT (-73.97697448730467 40.75891876220703)
12850924,2015-02-09,8.8,POINT (-73.97647857666014 40.75846481323241)
12850935,2015-02-09,6.8,POINT (-73.97889709472656 40.75938034057617)
12851231,2015-02-09,14.8,POINT (-73.973388671875 40.76070404052734)
12851238,2015-02-09,7.8,POINT (-73.97342681884766 40.75902557373047)
12851280,2015-02-09,11.0,POINT (-73.97745513916014 40.75548553466797)
12851290,2015-02-09,7.25,POINT (-73.97859191894531 40.76269149780273)
12851296,2015-02-09,13.3,POINT (-73.97356414794923 40.75829696655273)
12851702,2015-02-09,8.16,POINT (-73.97573089599609 40.75704574584961)
12851713,2015-02-09,18.3,POINT (-73.97893524169923 40.75615310668945)
12851943,2015-02-09,8.3,POINT (-73.97586822509766 40.76128768920898)
12851952,2015-02-09,6.8,POINT (-73.97672271728516 40.75699996948241)
12851953,2015-02-09,6.8,POINT (-73.97991943359375 40.76061630249024)
12851986,2015-02-09,14.15,POINT (-73.97548675537109 40.75535583496094)
12851992,2015-02-09,10.35,POINT (-73.97270965576173 40.75807952880859)
12851995,2015-02-09,9.8,POINT (-73.97837829589844 40.7626953125)
12852638,2015-02-09,8.6,POINT (-73.97479248046875 40.75625610351562)
12852640,2015-02-09,15.2,POINT (-73.97480773925781 40.75548934936523)
12853057,2015-02-09,9.36,POINT (-73.97537994384766 40.76012802124024)
12853065,2015-02-09,11.15,POINT (-73.97480773925781 40.76210784912109)
12853066,2015-02-09,15.3,POINT (-73.97283172607422 40.76079940795898)
12853127,2015-02-09,13.05,POINT (-73.97745513916014 40.75380325317383)
12853132,2015-02-09,10.8,POINT (-73.97858428955078 40.76250457763672)
12853146,2015-02-09,6.3,POINT (-73.97877502441406 40.76223373413085)
12853238,2015-02-09,11.8,POINT (-73.97281646728516 40.7613410949707)
12853241,2015-02-09,18.59,POINT (-73.97509765625 40.75589370727539)
12853242,2015-02-09,10.8,POINT (-73.97483825683594 40.75379180908203)
12853527,2015-02-09,14.8,POINT (-73.97389984130859 40.75764465332031)
12853554,2015-02-09,7.3,POINT (-73.9775390625 40.7585563659668)
12853839,2015-02-09,48.35,POINT (-73.97301483154298 40.75596237182617)
12853843,2015-02-09,7.3,POINT (-73.97629547119139 40.75971221923828)
12853920,2015-02-09,17.15,POINT (-73.97457885742188 40.75473022460938)
12853926,2015-02-09,10.3,POINT (-73.97853088378906 40.75699234008789)
12854693,2015-02-09,8.8,POINT (-73.97257995605469 40.76155471801758)
12854695,2015-02-09,14.45,POINT (-73.97808074951173 40.7623405456543)
12855106,2015-02-09,7.3,POINT (-73.97671508789062 40.75700759887695)
12855111,2015-02-09,14.5,POINT (-73.97527313232422 40.75518035888672)
12855114,2015-02-09,10.3,POINT (-73.97384643554686 40.75778961181641)
12855914,2015-02-09,45.13,POINT (-73.97342681884766 40.75661468505859)
12856030,2015-02-09,12.96,POINT (-73.97444915771484 40.76178359985352)
12856036,2015-02-09,10.3,POINT (-73.97833251953125 40.7626953125)
12856038,2015-02-09,15.36,POINT (-73.97789001464844 40.75491333007813)
12856399,2015-02-09,9.8,POINT (-73.97370147705078 40.76065063476562)
12856500,2015-02-09,7.3,POINT (-73.97456359863281 40.75543975830078)
12856506,2015-02-09,14.15,POINT (-73.97207641601562 40.75944519042969)
12856540,2015-02-09,18.8,POINT (-73.97238922119139 40.75597763061523)
12857182,2015-02-09,12.3,POINT (-73.97753143310547 40.7586669921875)
12857357,2015-02-09,10.3,POINT (-73.97952270507811 40.75547790527344)
12857447,2015-02-09,12.25,POINT (-73.97507476806641 40.76143646240234)
12857458,2015-02-09,9.75,POINT (-73.97956085205078 40.76206207275391)
12857471,2015-02-09,13.8,POINT (-73.97756958007811 40.75798416137695)
12858470,2015-02-09,11.0,POINT (-73.97218322753906 40.75690078735352)
12858482,2015-02-09,16.8,POINT (-73.97740936279298 40.75801849365234)
12858484,2015-02-09,7.3,POINT (-73.97487640380859 40.75900650024415)
12858592,2015-02-09,11.16,POINT (-73.97876739501955 40.75689697265625)
12858597,2015-02-09,13.55,POINT (-73.98063659667969 40.76005172729492)
12858612,2015-02-09,8.8,POINT (-73.97308349609375 40.75550079345703)
12859537,2015-02-09,11.16,POINT (-73.98056030273438 40.76037216186523)
12860346,2015-02-09,9.05,POINT (-73.975830078125 40.75679016113281)
12863631,2015-02-09,16.56,POINT (-73.98017883300781 40.76068878173828)
12867906,2015-02-09,7.8,POINT (-73.97332000732422 40.75878524780273)
12867911,2015-02-09,12.09,POINT (-73.97301483154298 40.75553512573241)
12867916,2015-02-09,11.3,POINT (-73.97474670410156 40.75600051879883)
12868052,2015-02-09,8.8,POINT (-73.97474670410156 40.7593879699707)
12868053,2015-02-09,8.3,POINT (-73.97829437255859 40.75730133056641)
12868062,2015-02-09,14.3,POINT (-73.97750854492188 40.75844192504883)
12868063,2015-02-09,9.3,POINT (-73.97476959228516 40.75983428955078)
12868458,2015-02-09,13.5,POINT (-73.97614288330078 40.75977325439453)
12868463,2015-02-09,18.3,POINT (-73.97789764404298 40.75728607177734)
12868569,2015-02-09,19.1,POINT (-73.97333526611328 40.75761795043945)
12868887,2015-02-09,5.8,POINT (-73.97663879394531 40.76288604736328)
12869105,2015-02-09,10.55,POINT (-73.97719573974609 40.75537109375)
12869109,2015-02-09,9.8,POINT (-73.98007202148438 40.75991439819336)
12869115,2015-02-09,8.8,POINT (-73.97254180908203 40.75570678710938)
12869195,2015-02-09,23.8,POINT (-73.97690582275391 40.76323318481445)
