,taxi_date,total_amount,geometry
1767,2015-01-27,10.3,POINT (-73.97588348388672 40.76005935668945)
3106,2015-01-27,14.16,POINT (-73.97348022460938 40.75787353515625)
3256,2015-01-27,12.35,POINT (-73.97964477539062 40.76126480102539)
3573,2015-01-27,7.3,POINT (-73.9794921875 40.75471496582031)
3663,2015-01-27,28.52,POINT (-73.97382354736328 40.76033782958984)
4152,2015-01-27,10.8,POINT (-73.97183227539062 40.76011657714844)
4669,2015-01-27,5.8,POINT (-73.97577667236328 40.75833892822266)
4673,2015-01-27,15.3,POINT (-73.97295379638672 40.75560760498047)
4678,2015-01-27,8.3,POINT (-73.97578430175781 40.75421524047852)
5451,2015-01-27,9.96,POINT (-73.97544860839844 40.75540161132813)
5452,2015-01-27,10.3,POINT (-73.97637939453125 40.75730895996094)
5459,2015-01-27,7.3,POINT (-73.97215270996094 40.75717163085938)
6814,2015-01-27,11.3,POINT (-73.97975158691406 40.7552490234375)
8789,2015-01-27,5.3,POINT (-73.97866058349609 40.76255035400391)
8790,2015-01-27,20.3,POINT (-73.97408294677734 40.75950241088867)
9482,2015-01-27,12.36,POINT (-73.97255706787109 40.75936126708984)
9485,2015-01-27,10.8,POINT (-73.97203063964845 40.7571907043457)
17715,2015-01-27,9.36,POINT (-73.98023986816406 40.76073837280273)
17725,2015-01-27,9.96,POINT (-73.97576141357422 40.75453186035156)
19921,2015-01-27,10.56,POINT (-73.97515106201173 40.75561141967773)
20889,2015-01-27,8.3,POINT (-73.97613525390625 40.76054382324219)
24684,2015-01-27,6.36,POINT (-73.97354888916014 40.75810241699219)
24699,2015-01-27,7.3,POINT (-73.97573089599609 40.75509262084961)
29265,2015-01-27,8.3,POINT (-73.97712707519531 40.75806045532227)
29273,2015-01-27,8.3,POINT (-73.97185516357422 40.76017761230469)
35863,2015-01-27,6.8,POINT (-73.9735107421875 40.7591552734375)
40090,2015-01-27,25.3,POINT (-73.97856903076173 40.76198959350585)
40092,2015-01-27,7.3,POINT (-73.97238922119139 40.75654220581055)
41109,2015-01-27,19.85,POINT (-73.97413635253906 40.75981140136719)
41169,2015-01-27,12.3,POINT (-73.97503662109375 40.75529098510742)
41186,2015-01-27,9.35,POINT (-73.97388458251955 40.75471115112305)
41396,2015-01-27,10.4,POINT (-73.97953033447266 40.76144027709961)
41834,2015-01-27,12.25,POINT (-73.97232055664062 40.7580680847168)
41841,2015-01-27,9.8,POINT (-73.97769927978516 40.75469589233398)
41980,2015-01-27,6.3,POINT (-73.97230529785155 40.75956344604492)
41981,2015-01-27,12.0,POINT (-73.97464752197266 40.7567138671875)
41987,2015-01-27,6.8,POINT (-73.97685241699219 40.76259994506836)
42498,2015-01-27,23.3,POINT (-73.97477722167969 40.75555419921875)
45848,2015-01-27,14.12,POINT (-73.97325134277344 40.76147842407227)
45851,2015-01-27,7.25,POINT (-73.97405242919923 40.76025390625)
48582,2015-01-27,13.4,POINT (-73.97882080078125 40.76112365722656)
48768,2015-01-27,15.38,POINT (-73.9756317138672 40.75804901123047)
62387,2015-01-27,8.0,POINT (-73.97171783447266 40.76015090942383)
63218,2015-01-27,7.7,POINT (-73.97306823730467 40.76151657104492)
63223,2015-01-27,12.3,POINT (-73.97629547119139 40.75565719604492)
64347,2015-01-27,12.8,POINT (-73.97464752197266 40.76224136352539)
64348,2015-01-27,12.8,POINT (-73.97624969482422 40.75489044189453)
67674,2015-01-27,13.8,POINT (-73.97542572021484 40.7607307434082)
73454,2015-01-27,10.3,POINT (-73.97222900390625 40.76145935058594)
73457,2015-01-27,23.8,POINT (-73.98047637939453 40.75975036621094)
81747,2015-01-27,16.56,POINT (-73.97788238525391 40.75725173950195)
81753,2015-01-27,11.0,POINT (-73.97339630126955 40.75866317749024)
81754,2015-01-27,23.5,POINT (-73.9759063720703 40.76019287109375)
83899,2015-01-27,11.55,POINT (-73.97602844238281 40.7594108581543)
83901,2015-01-27,7.3,POINT (-73.97830963134766 40.76162719726562)
83906,2015-01-27,14.76,POINT (-73.97138977050781 40.75772094726562)
85726,2015-01-27,12.3,POINT (-73.97579956054686 40.76015472412109)
86399,2015-01-27,14.15,POINT (-73.97734069824219 40.75822830200195)
86419,2015-01-27,7.3,POINT (-73.97581481933594 40.76073837280273)
86477,2015-01-27,7.8,POINT (-73.97663879394531 40.7591552734375)
86488,2015-01-27,7.8,POINT (-73.97573089599609 40.75817108154297)
86904,2015-01-27,9.3,POINT (-73.97180938720702 40.75680923461913)
86909,2015-01-27,7.8,POINT (-73.97602844238281 40.75745010375977)
86935,2015-01-27,9.13,POINT (-73.97648620605469 40.76193237304688)
87136,2015-01-27,9.8,POINT (-73.97274780273438 40.75824737548828)
87137,2015-01-27,17.15,POINT (-73.97605895996094 40.75419998168945)
87143,2015-01-27,10.8,POINT (-73.97281646728516 40.75934982299805)
88308,2015-01-27,7.8,POINT (-73.9786376953125 40.75701522827149)
91012,2015-01-27,6.3,POINT (-73.97762298583984 40.75846099853516)
94981,2015-01-27,12.3,POINT (-73.97422790527344 40.75468826293945)
94982,2015-01-27,6.8,POINT (-73.9732666015625 40.76152038574219)
94990,2015-01-27,40.56,POINT (-73.97892761230467 40.76241302490234)
97911,2015-01-27,12.0,POINT (-73.97919464111328 40.76137542724609)
109617,2015-01-27,13.0,POINT (-73.97502899169923 40.75477981567383)
109636,2015-01-27,9.8,POINT (-73.97857666015625 40.75813674926758)
112612,2015-01-27,9.8,POINT (-73.97309875488281 40.75592422485352)
112625,2015-01-27,9.3,POINT (-73.97457885742188 40.75729370117188)
117319,2015-01-27,18.36,POINT (-73.97418975830078 40.75983047485352)
117324,2015-01-27,9.49,POINT (-73.97770690917969 40.76036071777344)
117335,2015-01-27,9.3,POINT (-73.97124481201173 40.75811386108398)
120538,2015-01-27,14.76,POINT (-73.97666931152342 40.75597763061523)
122904,2015-01-27,5.8,POINT (-73.97451019287109 40.7563705444336)
126525,2015-01-27,7.8,POINT (-73.97467041015625 40.75848007202149)
126530,2015-01-27,10.3,POINT (-73.97257995605469 40.75933074951172)
127616,2015-01-27,15.96,POINT (-73.97469329833984 40.75566101074219)
130507,2015-01-27,19.3,POINT (-73.97805786132812 40.76057434082031)
130510,2015-01-27,6.3,POINT (-73.97228240966798 40.75624465942383)
130515,2015-01-27,30.3,POINT (-73.97756958007811 40.76327896118164)
131647,2015-01-27,7.3,POINT (-73.97872161865234 40.75626373291016)
131686,2015-01-27,9.75,POINT (-73.97461700439453 40.75782012939453)
131687,2015-01-27,10.3,POINT (-73.97602844238281 40.75708389282227)
131703,2015-01-27,16.56,POINT (-73.97727966308595 40.75867462158203)
131707,2015-01-27,13.8,POINT (-73.97726440429686 40.75445556640625)
132988,2015-01-27,7.89,POINT (-73.97647857666014 40.7605094909668)
132993,2015-01-27,9.75,POINT (-73.97829437255859 40.76250457763672)
134129,2015-01-27,7.3,POINT (-73.97371673583984 40.76084136962891)
134135,2015-01-27,11.16,POINT (-73.98081970214844 40.75938034057617)
134137,2015-01-27,9.9,POINT (-73.97559356689453 40.76279830932617)
134422,2015-01-27,7.55,POINT (-73.9773712158203 40.7630615234375)
134817,2015-01-27,13.56,POINT (-73.97522735595702 40.75989532470703)
134818,2015-01-27,8.3,POINT (-73.97222137451173 40.75752258300781)
135702,2015-01-27,9.8,POINT (-73.97579956054686 40.76089096069336)
137769,2015-01-27,8.76,POINT (-73.97831726074219 40.75749206542969)
137775,2015-01-27,8.16,POINT (-73.97651672363281 40.75962066650391)
139442,2015-01-27,5.8,POINT (-73.97321319580078 40.75589370727539)
139445,2015-01-27,9.8,POINT (-73.97286224365234 40.75898742675781)
139459,2015-01-27,6.3,POINT (-73.97531890869139 40.76240539550781)
149131,2015-01-27,11.8,POINT (-73.97373199462891 40.75774002075195)
149924,2015-01-27,13.56,POINT (-73.97618103027344 40.75997924804688)
158446,2015-01-27,7.8,POINT (-73.97635650634766 40.76013946533203)
159199,2015-01-27,36.3,POINT (-73.97473907470702 40.75657272338867)
164397,2015-01-27,10.38,POINT (-73.97422027587891 40.75960159301758)
166401,2015-01-27,4.8,POINT (-73.97662353515625 40.75604248046875)
166521,2015-01-27,5.3,POINT (-73.97737884521484 40.75548934936523)
169998,2015-01-27,5.3,POINT (-73.9757080078125 40.76082229614258)
173759,2015-01-27,13.3,POINT (-73.97772979736328 40.75431060791016)
175109,2015-01-27,8.7,POINT (-73.97258758544923 40.75563430786133)
175170,2015-01-27,6.3,POINT (-73.977294921875 40.75860214233398)
176828,2015-01-27,6.8,POINT (-73.9763946533203 40.75607299804688)
178077,2015-01-27,11.3,POINT (-73.97884368896483 40.76264953613281)
178293,2015-01-27,13.8,POINT (-73.97383117675781 40.76042175292969)
178331,2015-01-27,6.8,POINT (-73.97176361083984 40.7574577331543)
178337,2015-01-27,7.3,POINT (-73.97341156005859 40.75517654418945)
179551,2015-01-27,11.75,POINT (-73.97254943847656 40.75667572021485)
179688,2015-01-27,41.8,POINT (-73.9730224609375 40.76094436645508)
