,taxi_date,total_amount,geometry
51638258,2015-05-31,47.92,POINT (-73.97269439697266 40.75518035888672)
51638372,2015-05-31,9.8,POINT (-73.97872161865234 40.76213836669922)
51638559,2015-05-31,11.16,POINT (-73.9773712158203 40.75384902954102)
51641535,2015-05-31,5.8,POINT (-73.97840881347656 40.75743865966797)
51641536,2015-05-31,4.3,POINT (-73.97608184814453 40.75886917114258)
51641541,2015-05-31,18.95,POINT (-73.98091888427734 40.75827026367188)
51641546,2015-05-31,6.8,POINT (-73.97548675537109 40.75657653808594)
51641855,2015-05-31,48.84,POINT (-73.97487640380859 40.75809478759766)
51642242,2015-05-31,10.3,POINT (-73.97322845458984 40.75485610961913)
51642853,2015-05-31,13.55,POINT (-73.97557830810547 40.76028442382813)
51643059,2015-05-31,27.8,POINT (-73.97415924072266 40.75471115112305)
51643448,2015-05-31,10.56,POINT (-73.97859191894531 40.75592422485352)
51644344,2015-05-31,11.8,POINT (-73.97541046142578 40.75726318359375)
51649047,2015-05-31,8.3,POINT (-73.97799682617188 40.75991821289063)
51649094,2015-05-31,15.8,POINT (-73.98097991943358 40.75812149047852)
51649170,2015-05-31,43.34,POINT (-73.97470855712891 40.75692367553711)
51649747,2015-05-31,23.75,POINT (-73.97447204589844 40.75687026977539)
51651249,2015-05-31,6.95,POINT (-73.97215270996094 40.76059341430664)
51651369,2015-05-31,9.3,POINT (-73.97845458984375 40.76143264770508)
51651379,2015-05-31,5.8,POINT (-73.97184753417969 40.75700378417969)
51651412,2015-05-31,15.0,POINT (-73.9791259765625 40.75491333007813)
51651422,2015-05-31,12.8,POINT (-73.97310638427734 40.7553825378418)
51651466,2015-05-31,16.0,POINT (-73.97769927978516 40.7550163269043)
51651543,2015-05-31,8.8,POINT (-73.97614288330078 40.75929260253906)
51651750,2015-05-31,8.8,POINT (-73.97259521484375 40.7581443786621)
51653145,2015-05-31,4.8,POINT (-73.97218322753906 40.75798416137695)
51654000,2015-05-31,13.8,POINT (-73.97422790527344 40.75734329223633)
51654004,2015-05-31,23.8,POINT (-73.97245025634766 40.75638961791992)
51654040,2015-05-31,10.8,POINT (-73.97822570800781 40.75783920288085)
51654742,2015-05-31,14.8,POINT (-73.97872924804686 40.75760650634766)
51654896,2015-05-31,58.34,POINT (-73.97400665283203 40.75671768188477)
51654900,2015-05-31,19.8,POINT (-73.97327423095702 40.75578308105469)
51654904,2015-05-31,10.8,POINT (-73.98082733154298 40.7573356628418)
51654957,2015-05-31,5.8,POINT (-73.97438812255859 40.7569694519043)
51690449,2015-05-31,45.41,POINT (-73.9733123779297 40.75662612915039)
51690685,2015-05-31,12.8,POINT (-73.97877502441406 40.75643539428711)
51691303,2015-05-31,7.8,POINT (-73.98092651367188 40.75946426391602)
51692117,2015-05-31,14.15,POINT (-73.97441864013672 40.75607681274415)
51692558,2015-05-31,11.8,POINT (-73.97975921630859 40.76153182983398)
51692606,2015-05-31,31.8,POINT (-73.97207641601562 40.75883483886719)
51692673,2015-05-31,7.8,POINT (-73.97509002685547 40.7575798034668)
51694096,2015-05-31,14.8,POINT (-73.97827911376955 40.75432968139648)
51694182,2015-05-31,8.8,POINT (-73.97926330566406 40.76138305664063)
51694202,2015-05-31,8.3,POINT (-73.97291564941406 40.75566101074219)
51694252,2015-05-31,4.3,POINT (-73.97426605224609 40.75493240356445)
51694339,2015-05-31,7.8,POINT (-73.97882843017578 40.76252365112305)
51694362,2015-05-31,10.3,POINT (-73.97850036621094 40.7600212097168)
51694371,2015-05-31,8.3,POINT (-73.97394561767578 40.75432968139648)
