,taxi_date,km_score,total_amount_x,taxi_trip_count_x,holiday_x,weekend_x,total_amount_y,taxi_trip_count_y,holiday_y,weekend_y
26,2015-01-27,4.72534175198,10.9293835781,4153,0,0,-3.09862880213,-3.37365711861,-0.298842584326,-0.630377459427
185,2015-07-05,3.37988819021,11.9121397627,5309,0,0,-1.81103032271,-2.66064501922,-0.298842584326,-0.630377459427
9,2015-01-10,3.06450345222,12.0677147898,13036,0,1,-1.60719729521,2.1053104237,-0.298842584326,1.58200497029
304,2015-11-01,3.04228964295,14.8229753289,6080,0,0,2.00272074594,-2.18509802213,-0.298842584326,-0.630377459427
2,2015-01-03,2.89264246729,11.4941745047,9994,0,1,-2.35864471484,0.229027719237,-0.298842584326,1.58200497029
16,2015-01-17,2.85233968842,11.6396028522,11079,0,1,-2.16810577741,0.89824755301,-0.298842584326,1.58200497029
43,2015-02-13,2.84794364468,14.1587878099,13191,0,1,1.13250812039,2.20091325709,-0.298842584326,1.58200497029
184,2015-07-04,2.82354234357,11.8929427635,5189,1,1,-1.83618206154,-2.73466011604,3.33707552497,1.58200497029
234,2015-08-23,2.81627326602,12.5462466726,5635,0,0,-0.980229045803,-2.45957067285,-0.298842584326,-0.630377459427
247,2015-09-05,2.78953976172,12.3949241275,6590,0,1,-1.17849050888,-1.87053386064,-0.298842584326,1.58200497029
358,2015-12-25,2.78713371556,12.4189183087,4872,1,1,-1.14705354439,-2.93018333015,3.33707552497,1.58200497029
42,2015-02-12,2.7825691939,14.2610537477,13675,0,0,1.26649604958,2.49944081428,-0.298842584326,-0.630377459427
23,2015-01-24,2.78056036431,11.734520389,11207,0,1,-2.04374565841,0.977196989621,-0.298842584326,1.58200497029
25,2015-01-26,2.75618658269,12.3731210944,5921,0,0,-1.20705665036,-2.28316802542,-0.298842584326,-0.630377459427
3,2015-01-04,2.74073196507,11.8567107584,6804,0,0,-1.88365291493,-1.7385402713,-0.298842584326,-0.630377459427
252,2015-09-10,2.71364670723,15.319019089,10582,0,0,2.65263290243,0.591701693669,-0.298842584326,-0.630377459427
240,2015-08-29,2.69574638171,12.2968125718,6968,0,1,-1.30703540326,-1.63738630564,-0.298842584326,1.58200497029
226,2015-08-15,2.68003259337,12.1632420531,7267,0,1,-1.48203831793,-1.45296535606,-0.298842584326,1.58200497029
241,2015-08-30,2.67191229382,12.1655252002,6369,0,0,-1.47904695878,-2.00684499728,-0.298842584326,-0.630377459427
233,2015-08-22,2.64525158516,12.4446029433,6863,0,1,-1.1134017628,-1.70214951536,-0.298842584326,1.58200497029
30,2015-01-31,2.56480035067,12.219451758,12002,0,1,-1.40839285863,1.46754700607,-0.298842584326,1.58200497029
313,2015-11-10,2.54077674591,14.2013236109,10834,1,0,1.18823815144,0.747133396997,3.33707552497,-0.630377459427
150,2015-05-31,2.5302595854,14.6824723777,6969,0,0,1.81863501923,-1.63676951317,-0.298842584326,-0.630377459427
220,2015-08-09,2.44848018573,12.8621278705,6053,0,0,-0.566364288207,-2.20175141892,-0.298842584326,-0.630377459427
44,2015-02-14,2.44501049554,13.0813445378,12733,0,1,-0.279148545413,1.91842230422,-0.298842584326,1.58200497029
227,2015-08-16,2.44496905542,12.5753825354,6287,0,0,-0.942055495497,-2.05742198011,-0.298842584326,-0.630377459427
49,2015-02-19,2.41932680848,13.6850249052,13451,0,0,0.51178814402,2.36127930021,-0.298842584326,-0.630377459427
93,2015-04-04,2.41893862017,11.9654696193,9167,0,1,-1.74115801524,-0.281059656367,-0.298842584326,1.58200497029
50,2015-02-20,2.39807879086,13.0049591108,12595,0,1,-0.379228057785,1.83330494287,-0.298842584326,1.58200497029
332,2015-11-29,2.37733155213,12.0947386808,7156,0,0,-1.57179083171,-1.52142932062,-0.298842584326,-0.630377459427
360,2015-12-27,2.37374228292,12.6714809546,6327,0,0,-0.816148194738,-2.03275028117,-0.298842584326,-0.630377459427
351,2015-12-18,2.34812384501,14.3365656392,11647,0,1,1.36543106339,1.24858567797,-0.298842584326,1.58200497029
205,2015-07-25,2.33968046894,12.1426814728,8555,0,1,-1.50897660876,-0.658536650163,-0.298842584326,1.58200497029
